iter	Passed	Remaining
0	152	152299
1	153	76667
2	155	51633
3	156	38942
4	157	31317
5	158	26264
6	159	22632
7	160	19907
8	161	17789
9	162	16121
10	163	14732
11	164	13574
12	165	12580
13	166	11723
14	167	10970
15	167	10307
16	168	9722
17	168	9205
18	169	8753
19	170	8335
20	170	7958
21	171	7614
22	171	7299
23	172	7012
24	172	6745
25	173	6501
26	174	6277
27	174	6066
28	175	5870
29	175	5686
30	176	5514
31	176	5354
32	177	5202
33	178	5063
34	178	4931
35	179	4808
36	180	4687
37	180	4574
38	181	4465
39	181	4362
40	182	4265
41	182	4171
42	183	4084
43	184	4002
44	184	3920
45	185	3843
46	185	3771
47	186	3699
48	187	3632
49	187	3566
50	188	3502
51	188	3441
52	189	3382
53	189	3325
54	190	3271
55	190	3218
56	191	3168
57	192	3122
58	192	3075
59	193	3038
60	194	2998
61	195	2959
62	196	2921
63	197	2883
64	197	2845
65	198	2809
66	199	2773
67	199	2738
68	200	2704
69	201	2673
70	201	2640
71	202	2609
72	203	2577
73	203	2547
74	204	2517
75	204	2489
76	205	2461
77	205	2433
78	206	2406
79	207	2380
80	207	2355
81	208	2333
82	208	2307
83	209	2285
84	210	2264
85	210	2241
86	211	2219
87	212	2198
88	212	2177
89	213	2157
90	214	2140
91	215	2122
92	215	2105
93	216	2088
94	217	2071
95	218	2053
96	218	2035
97	219	2018
98	219	2001
99	220	1984
100	221	1968
101	221	1952
102	222	1936
103	223	1924
104	224	1910
105	225	1903
106	226	1889
107	227	1874
108	227	1860
109	228	1846
110	228	1832
111	229	1818
112	230	1811
113	231	1798
114	232	1785
115	232	1772
116	233	1759
117	233	1747
118	234	1735
119	234	1723
120	235	1711
121	236	1700
122	236	1689
123	237	1678
124	238	1668
125	239	1657
126	239	1647
127	240	1636
128	240	1626
129	241	1615
130	241	1605
131	242	1594
132	243	1584
133	243	1574
134	244	1564
135	244	1555
136	245	1546
137	246	1537
138	246	1528
139	247	1519
140	247	1510
141	248	1500
142	248	1491
143	249	1482
144	250	1475
145	250	1466
146	251	1458
147	251	1450
148	252	1441
149	253	1437
150	254	1431
151	255	1424
152	256	1418
153	256	1411
154	257	1403
155	258	1396
156	258	1390
157	259	1383
158	260	1376
159	260	1369
160	261	1361
161	261	1354
162	262	1347
163	263	1340
164	263	1333
165	264	1327
166	264	1321
167	265	1314
168	265	1307
169	266	1301
170	267	1294
171	267	1288
172	268	1284
173	269	1278
174	269	1272
175	270	1266
176	271	1260
177	271	1254
178	272	1249
179	272	1243
180	273	1237
181	274	1232
182	274	1226
183	275	1220
184	275	1215
185	276	1209
186	277	1204
187	277	1199
188	278	1195
189	279	1190
190	279	1185
191	280	1182
192	281	1177
193	282	1174
194	283	1170
195	284	1167
196	285	1162
197	285	1158
198	286	1153
199	287	1148
200	287	1144
201	288	1139
202	289	1135
203	289	1131
204	290	1126
205	291	1122
206	291	1118
207	292	1114
208	293	1109
209	293	1105
210	294	1101
211	295	1098
212	297	1097
213	297	1094
214	298	1090
215	299	1086
216	300	1082
217	300	1078
218	301	1074
219	301	1070
220	302	1066
221	313	1099
222	314	1096
223	316	1094
224	317	1092
225	318	1089
226	319	1086
227	319	1082
228	320	1078
229	320	1074
230	321	1070
231	322	1066
232	322	1062
233	323	1058
234	324	1054
235	324	1051
236	325	1047
237	325	1043
238	326	1039
239	327	1037
240	328	1034
241	328	1030
242	329	1026
243	330	1022
244	330	1019
245	331	1016
246	332	1012
247	332	1009
248	333	1005
249	334	1002
250	334	999
251	335	995
252	336	992
253	336	989
254	337	985
255	337	981
256	338	978
257	339	975
258	339	971
259	340	968
260	340	965
261	341	961
262	342	958
263	342	955
264	343	952
265	344	949
266	344	946
267	345	943
268	346	940
269	346	937
270	347	934
271	347	930
272	348	927
273	349	924
274	349	921
275	350	918
276	350	915
277	351	912
278	352	909
279	352	906
280	353	904
281	353	901
282	354	898
283	355	895
284	355	893
285	356	890
286	357	887
287	357	884
288	358	882
289	359	880
290	360	877
291	360	874
292	361	871
293	361	869
294	362	866
295	363	863
296	363	861
297	365	860
298	365	857
299	366	855
300	367	852
301	367	850
302	368	847
303	368	844
304	369	842
305	370	840
306	371	837
307	371	835
308	372	832
309	373	830
310	373	827
311	374	825
312	374	822
313	375	820
314	376	817
315	376	815
316	377	812
317	377	810
318	378	807
319	379	805
320	379	803
321	380	801
322	381	798
323	381	796
324	382	795
325	383	792
326	384	790
327	384	788
328	385	786
329	386	783
330	386	781
331	387	779
332	388	777
333	389	775
334	389	773
335	390	771
336	391	769
337	391	767
338	392	764
339	392	762
340	393	760
341	394	758
342	394	756
343	395	753
344	396	751
345	396	749
346	397	747
347	397	745
348	398	743
349	399	741
350	399	739
351	400	736
352	400	734
353	401	732
354	402	730
355	403	729
356	403	727
357	404	725
358	405	723
359	405	721
360	406	719
361	407	717
362	407	715
363	408	713
364	408	711
365	409	709
366	410	707
367	410	705
368	411	703
369	412	701
370	412	699
371	413	697
372	413	695
373	414	693
374	415	691
375	415	689
376	416	688
377	417	686
378	418	685
379	418	683
380	419	681
381	419	679
382	420	677
383	421	675
384	421	673
385	422	672
386	423	670
387	423	668
388	424	666
389	425	665
390	425	663
391	426	661
392	427	659
393	427	657
394	428	655
395	429	654
396	429	652
397	430	651
398	431	649
399	431	647
400	432	645
401	433	644
402	433	642
403	434	640
404	434	638
405	435	637
406	436	635
407	436	633
408	437	631
409	437	630
410	438	628
411	439	626
412	439	624
413	440	623
414	440	621
415	441	619
416	441	617
417	442	616
418	443	614
419	443	612
420	444	611
421	444	609
422	445	607
423	446	606
424	446	604
425	447	603
426	448	602
427	449	600
428	450	599
429	451	598
430	451	596
431	452	595
432	453	593
433	453	592
434	454	590
435	455	588
436	455	587
437	456	585
438	457	584
439	457	582
440	458	581
441	458	579
442	459	577
443	460	576
444	460	574
445	461	573
446	462	572
447	463	570
448	463	569
449	464	567
450	464	565
451	465	564
452	465	562
453	466	561
454	467	559
455	467	557
456	468	556
457	468	554
458	469	553
459	470	551
460	470	550
461	471	548
462	471	547
463	472	545
464	473	544
465	473	542
466	474	541
467	474	539
468	475	538
469	476	537
470	476	535
471	477	534
472	478	533
473	479	531
474	479	530
475	480	528
476	481	527
477	481	525
478	482	524
479	482	523
480	483	521
481	484	520
482	484	518
483	485	517
484	485	515
485	486	514
